id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss,models_ensemble_count,acc_final
blood-transfusion-service-center,blood-transfusion-service-center,constantpredictor,72s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T02:29:08,0.03,0.0004,0.0001,1,913152289,,0.733333,0.5,0.5,0.584548,,73.3333
blood-transfusion-service-center,blood-transfusion-service-center,RandomForest,72s,0,binary,0.668333,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:29:22,9.9,7.9,0.5,2000,2141120638,,0.728889,0.668333,0.581818,0.691468,,72.8889
blood-transfusion-service-center,blood-transfusion-service-center,TPOT,72s,0,binary,0.718182,auc,local,0.12.1,,2.1.7,2024-01-08T02:30:55,88.9,82.6,0.009,567,121467895,,0.764444,0.718182,0.600758,0.541858,,76.4444
sylvine,sylvine,AutoGluon,76s,0,binary,0.986095,auc,local,1.0.0,,2.1.7,2024-01-08T02:31:28,28.4,25.3,0.2,14,1932415978,,0.948635,0.986095,0.948673,0.152178,4,94.8635
sylvine,sylvine,H2OAutoML,76s,0,binary,0.986589,auc,local,3.44.0.3,,2.1.7,2024-01-08T02:33:00,87.3,77.6,0.3,36,6989391,,0.917425,0.986589,0.917353,0.150478,,91.7425
sylvine,sylvine,mljarsupervised,76s,0,binary,0.980295,auc,local,1.1.1,,2.1.7,2024-01-08T02:34:08,63.9,55.5,0.05,7,1885682757,,0.944733,0.980295,0.944748,0.187905,,94.4733
sylvine,sylvine,constantpredictor,76s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T02:34:13,0.04,0.0004,0.00008,1,740646023,,0.49935,0.5,0.5,0.693148,,49.935
sylvine,sylvine,RandomForest,76s,0,binary,0.983217,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T02:34:30,13.1,10.5,0.8,2000,1176295399,,0.93303,0.983217,0.93307,0.182426,,93.303
sylvine,sylvine,TPOT,76s,0,binary,0.986122,auc,local,0.12.1,,2.1.7,2024-01-08T02:36:02,87.8,81.5,0.02,193,802197373,,0.941482,0.986122,0.941528,0.181879,,94.1482
guillermo,guillermo,AutoGluon,988s,0,binary,0.906971,auc,local,1.0.0,,2.1.7,2024-01-08T02:53:18,1018.1,993.6,1.9,14,345475104,,0.843833,0.906971,0.819916,0.367084,4,84.3833
guillermo,guillermo,H2OAutoML,988s,0,binary,0.884186,auc,local,3.44.0.3,,2.1.7,2024-01-08T03:10:46,1030.4,989.9,0.9,11,889598781,,0.807167,0.884186,0.804806,0.403963,,80.7167
guillermo,guillermo,mljarsupervised,988s,0,binary,0.72646,auc,local,1.1.1,,2.1.7,2024-01-08T03:28:37,1053.8,1030.7,2.8,3,701955707,,0.691167,0.72646,0.679769,0.588693,,69.1167
guillermo,guillermo,constantpredictor,988s,0,binary,0.5,auc,local,1.2.2,,2.1.7,2024-01-08T03:29:03,7.4,0.0009,0.0002,1,1827686046,,0.605167,0.5,0.5,0.670981,,60.5167
guillermo,guillermo,RandomForest,988s,0,binary,0.893049,auc,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T03:33:09,227.6,196.5,1,2000,574073972,,0.817167,0.893049,0.776464,0.443213,,81.7167
guillermo,guillermo,TPOT,988s,0,binary,0.780162,auc,local,0.12.1,,2.1.7,2024-01-08T03:56:01,1355.2,1321.9,0.1,93,408455991,,0.747,0.780162,0.708514,0.699068,,74.7
segment,segment,AutoGluon,96s,0,multiclass,-0.211253,neg_logloss,local,1.0.0,,2.1.7,2024-01-08T03:56:53,47.6,44.2,0.2,14,341677273,,0.922078,,0.926368,0.211253,5,92.2078
segment,segment,H2OAutoML,96s,0,multiclass,-0.239811,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T03:58:47,109.7,98.7,0.3,32,1744792593,,0.920635,,0.92435,0.239811,,92.0635
segment,segment,mljarsupervised,96s,0,multiclass,-0.23657,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T04:00:32,99.7,91.1,0.1,7,1107877291,,0.903319,,0.908292,0.23657,,90.3319
segment,segment,constantpredictor,96s,0,multiclass,-1.9502,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T04:00:36,0.04,0.0008,0.00009,1,354371043,,0.124098,,0.142857,1.9502,,12.4098
segment,segment,RandomForest,96s,0,multiclass,-0.217063,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T04:00:52,11.6,8.9,0.8,2000,1337796730,,0.920635,,0.924271,0.217063,,92.0635
segment,segment,TPOT,96s,0,multiclass,-0.250842,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T04:03:10,133.2,126.8,0.01,159,2034676355,,0.920635,,0.924704,0.250842,,92.0635
cnae-9,cnae-9,AutoGluon,90s,0,multiclass,-0.233929,neg_logloss,local,1.0.0,,2.1.7,2024-01-08T04:04:39,84.6,80.9,0.3,14,1239843840,,0.941358,,0.943493,0.233929,4,94.1358
cnae-9,cnae-9,H2OAutoML,90s,0,multiclass,-1.09594,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T04:06:28,104.1,91.3,0.3,13,1007269807,,0.728395,,0.737056,1.09594,,72.8395
cnae-9,cnae-9,mljarsupervised,90s,0,multiclass,-0.230126,neg_logloss,local,1.1.1,,2.1.7,2024-01-08T04:07:46,73.2,64,0.4,6,702738542,,0.932099,,0.933925,0.230126,,93.2099
cnae-9,cnae-9,constantpredictor,90s,0,multiclass,-2.20479,neg_logloss,local,1.2.2,,2.1.7,2024-01-08T04:07:51,0.2,0.0004,0.00008,1,131284541,,0.0864198,,0.111111,2.20479,,8.64198
cnae-9,cnae-9,RandomForest,90s,0,multiclass,-0.331629,neg_logloss,local,1.3.2,{'n_estimators': 2000},2.1.7,2024-01-08T04:08:07,11.6,8.4,0.7,2000,1114866782,,0.904321,,0.903659,0.331629,,90.4321
cnae-9,cnae-9,TPOT,90s,0,multiclass,,neg_logloss,local,0.12.1,,2.1.7,2024-01-08T04:11:19,187.2,,,,1240902120,NoResultError: Interrupting thread MainThread [ident=139752436969472] after 180s timeout.,,,,,,0
Fashion-MNIST,Fashion-MNIST,AutoGluon,252s,0,multiclass,-0.249701,neg_logloss,local,1.0.0,,2.1.7,2024-01-08T04:15:55,267,256,1.5,6,1993442213,,0.905619,,0.905862,0.249701,4,90.5619
Fashion-MNIST,Fashion-MNIST,H2OAutoML,252s,0,multiclass,-0.286585,neg_logloss,local,3.44.0.3,,2.1.7,2024-01-08T04:20:40,276.9,254.6,0.7,9,599656616,,0.895048,,0.895276,0.286585,,89.5048
